step,reward,bottom_target_delta_x,bottom_target_delta_y,bottom_target_delta_z,body_quat_w,body_quat_x,body_quat_y,body_quat_z,bottom_height,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,tvc_yaw_angle,tvc_pitch_angle,tvc_yaw_velocity,tvc_pitch_velocity,foot1_contact,foot2_contact,foot3_contact,foot4_contact,main_motor_power,phase_climb,phase_flip,phase_recovery,phase_hover,phase_done,task_flip_progress,task_hover_timer_fraction,phase_target_delta_z,phase,success,fail,fail_reason,phase_bonus,flip_progress,hover_timer,climb_ready_timer,upright_score,rel_dist,linear_speed,angular_speed,joint_speed,height,main_thrust_newton
25,91.36354276005432,0.19518296420574188,0.11162108927965164,-5.13801383972168,-0.021038943901658058,-0.2983977198600769,0.9531156420707703,0.04568062722682953,10.13801383972168,0.6072417497634888,0.29075247049331665,0.9084272384643555,0.6774982213973999,6.79678201675415,-0.020924581214785576,-0.8148391246795654,-0.7100635170936584,3.2383487224578857,0.5135015249252319,0.0,0.0,0.0,0.0,0.4680444300174713,0.0,1.0,0.0,0.0,0.0,0.5046810507774353,0.0,-0.1380140483379364,flip,False,False,,0.0,0.5046810779964492,0.0,0.0,-0.9949413466031918,0.22484585798640355,1.130716408123856,6.830496814832673,3.27880874802675,10.13801404584984,16.523812474671004
26,83.98631212765639,0.15804526209831238,0.08123315870761871,-5.148935317993164,-0.06825605034828186,-0.30058637261390686,0.9510119557380676,0.02377505414187908,10.148935317993164,0.6286390423774719,0.3855377733707428,0.6938926577568054,0.9919944405555725,6.150785446166992,0.0108661949634552,-0.7518190145492554,-0.720150887966156,4.61501932144165,-1.3124722242355347,0.0,0.0,0.0,0.0,0.3268463611602783,0.0,1.0,0.0,0.0,0.0,0.5203438997268677,0.0,-0.14893528819084167,flip,False,False,,0.0,0.5203439249160301,0.0,0.0,-0.9895517857237274,0.17769955820134892,1.0125776249435923,6.2302756382294,4.798019221314041,10.148935285144958,11.538964323620796
27,78.94603709937032,0.1243506446480751,0.04908087104558945,-5.153043270111084,-0.11086052656173706,-0.301788330078125,0.9469074010848999,0.0002945943269878626,10.153042793273926,0.6538178324699402,0.5012453198432922,0.4442506432533264,1.3290307521820068,5.838379383087158,0.057159870862960815,-0.667618453502655,-0.7453337907791138,6.608566761016846,-1.5957344770431519,0.0,0.0,0.0,0.0,0.4366551637649536,0.0,1.0,0.0,0.0,0.0,0.5352112650871277,0.0,-0.15304319560527802,flip,False,False,,0.0,0.5352112357790996,0.0,0.0,-0.9754199853980414,0.1336862549927924,0.9359931718337977,5.988009955004499,6.798494205445829,10.153043193368147,15.415647702248096
28,77.28878332286915,0.09083130955696106,0.015615539625287056,-5.1493754386901855,-0.15297219157218933,-0.3014566898345947,0.9408602118492126,-0.02248239330947399,10.149375915527344,0.6899928450584412,0.6493651866912842,0.1224440187215805,0.7273775339126587,6.020299434661865,0.2326148897409439,-0.371719628572464,-0.7680190801620483,32.8634033203125,-1.2034626007080078,0.0,0.0,0.0,0.0,0.6520902514457703,0.0,1.0,0.0,0.0,0.0,0.5505418181419373,0.0,-0.1493755429983139,flip,False,False,,0.0,0.5505418018999848,0.0,0.0,-0.9521888922141464,0.09216383226518514,0.9553835900561329,6.068541069526198,32.88543329947678,10.149375537570116,23.021355111626384
29,80.76750910221796,0.05202361196279526,-0.016961829736828804,-5.134915828704834,-0.20072810351848602,-0.29683157801628113,0.9327335953712463,-0.04009029641747475,10.134915351867676,0.7856705784797668,0.7594102621078491,-0.3379579782485962,-0.5215998888015747,6.857618808746338,0.668860137462616,0.4048483669757843,-0.7843679785728455,63.7263069152832,-0.8370506763458252,0.0,0.0,0.0,0.0,0.9927905797958374,0.0,1.0,0.0,0.0,0.0,0.5680046081542969,0.0,-0.1349157691001892,flip,False,False,,0.0,0.568004585127569,0.0,0.0,-0.9162027551671821,0.05471891743506127,1.1437647570461627,6.9098753832643425,63.731805926626656,10.134915772221934,35.049419061677455
30,92.4743611148425,0.009349798783659935,-0.05186765640974045,-5.107545375823975,-0.2532063126564026,-0.28906869888305664,0.9211984872817993,-0.06098512187600136,10.107545852661133,0.9811505079269409,0.7170965671539307,-0.772728443145752,0.5890053510665894,7.576638698577881,0.687705934047699,0.8983498215675354,-0.7953207492828369,8.024624824523926,-0.5440388321876526,0.0,0.0,0.0,0.0,0.9987979531288147,0.0,1.0,0.0,0.0,0.0,0.5872983336448669,0.0,-0.10754558444023132,flip,False,False,,0.0,0.5872983376309775,0.0,0.0,-0.8643345065431182,0.05270363049581633,1.4401364697881043,7.630551988035552,8.043045981668975,10.107545582196858,35.26150300938249
31,97.7068976059769,-0.03802524507045746,-0.08487313985824585,-5.066983699798584,-0.31029799580574036,-0.280987024307251,0.9045348167419434,-0.08110609650611877,10.066983222961426,1.1855934858322144,0.6386603713035583,-1.1910585165023804,-0.4527452886104584,8.199274063110352,0.34512361884117126,0.8811569213867188,-0.8022417426109314,-6.683063983917236,-0.3354143500328064,0.0,0.0,0.0,0.0,0.9989347457885742,0.0,1.0,0.0,0.0,0.0,0.6081776022911072,0.0,-0.06698351353406906,flip,False,False,,0.0,0.6081776181724439,0.0,0.0,-0.794273845547732,0.09300198630163763,1.7978151377485432,8.219013783122112,6.691475732951299,10.066983513031245,35.26633232923508
32,100.39855572884075,-0.09143135696649551,-0.10985145717859268,-5.012510776519775,-0.3732261061668396,-0.27044937014579773,0.88264000415802,-0.09222807735204697,10.012510299682617,1.3456281423568726,0.5480197668075562,-1.6341726779937744,-1.8156672716140747,8.722742080688477,0.08471105992794037,0.7645974159240723,-0.806455135345459,-6.423830032348633,-0.2017572820186615,0.0,0.0,0.0,0.0,0.9995771646499634,0.0,1.0,0.0,0.0,0.0,0.630389928817749,0.0,-0.012510553002357483,flip,False,False,,0.0,0.6303898995743076,0.0,0.0,-0.7043925499824251,0.14292318402212686,2.1866780831151194,8.91011001462316,6.426997654567076,10.012510552835938,35.289012246172426
33,102.806125068714,-0.1480553150177002,-0.1256587654352188,-4.943511009216309,-0.4404914379119873,-0.2556770443916321,0.8553848266601562,-0.09441041201353073,9.943511009216309,1.4478931427001953,0.44618192315101624,-2.09936261177063,-2.9487650394439697,9.154349327087402,-0.015923958271741867,0.6943553686141968,-0.8089722990989685,-2.290048599243164,-0.11972130835056305,0.0,0.0,0.0,0.0,0.9999932050704956,0.0,1.0,0.0,0.0,0.0,0.6537012457847595,0.0,0.05648912116885185,flip,False,False,,0.0,0.6537012593714092,0.0,0.0,-0.5941079866436827,0.19419192373241453,2.5889760018333217,9.617566517665876,2.293175895900707,9.943510877864535,35.30370011221647
34,104.46814726275753,-0.20375359058380127,-0.1328209489583969,-4.859936237335205,-0.509761393070221,-0.23622453212738037,0.8223025798797607,-0.09033160656690598,9.859936714172363,1.4949883222579956,0.32965242862701416,-2.572843551635742,-3.654510259628296,9.50849437713623,-0.03416645526885986,0.6678352355957031,-0.8104530572891235,-1.773830533027649,-0.06987100839614868,0.0,0.0,0.0,0.0,0.9999507665634155,0.0,1.0,0.0,0.0,0.0,0.6779144406318665,0.0,0.1400635987520218,flip,False,False,,0.0,0.6779144416623578,0.0,0.0,-0.4639670366180038,0.24322197042716107,2.9938579245869974,10.186661846005254,1.7752061156951067,9.85993639989354,35.302201865708824
